0.502230960936896 0.9110971565649381 , 0.8516592110366394 0.9918473176676506 , 0.5757193725578579 0.12854168725374715 
0.5137938655521683 0.905607352162127 , 0.8511637088374616 0.9929795291216635 , 0.5646519701417634 0.13289928020254524 
0.5260753246198234 0.900138549683213 , 0.8499225706472049 0.9938150482109716 , 0.553611649264365 0.13753256359215113 
0.5391076191154114 0.8947179019227334 , 0.8478975235647889 0.9943220952427264 , 0.5426044018511931 0.14244616432087603 
0.552929712239251 0.8893796380698488 , 0.8450430234341616 0.9944617582275851 , 0.5316368088579807 0.14764476518890188 
0.5675887242377735 0.884167562493947 , 0.8413047322699506 0.9941855894288423 , 0.5207160880236692 0.1531330095635464 
0.5831418256705134 0.8791386275671667 , 0.8366175901592262 0.9934321499768238 , 0.5098501287016538 0.1589153839423452 
0.5996586176737343 0.8743681731638981 , 0.8309034202036891 0.9921219106447074 , 0.49904750665397 0.16499607767773014 
0.6172239738571567 0.8699578240854361 , 0.8240681008007565 0.9901495161764701 , 0.4883174698734802 0.1713788212244296 
0.6359409832972861 0.866047736825774 , 0.8159986764761331 0.9873717169289307 , 0.4776698847579741 0.17806670773163114 
0.6559325786497137 0.8628360893586172 , 0.8065618351940029 0.9835880638867583 , 0.4671151306876768 0.18506200824096014 
0.6773372065396293 0.860610527619472 , 0.7956084070379642 0.9785096346998148 , 0.4566639309538 0.19236599916704888 
0.700284083283063 0.8597975441074432 , 0.7829983507962851 0.971709783351828 , 0.4463271104520454 0.1999788340270644 
0.7248048674141445 0.8610271954826055 , 0.7686893980401759 0.9625594524994949 , 0.43611527907707304 0.20789951350423513 
0.7505722727535148 0.8651450037807924 , 0.7529988070162498 0.9502151116403031 , 0.4260384647616289 0.21612604606524005 
0.7763642736006203 0.8728548797494424 , 0.7371394787137119 0.9339753361505194 , 0.4161057922170612 0.22465594558637383 
0.7999924227253696 0.8836478183799765 , 0.7232916531141887 0.9143511557618755 , 0.40632546869183495 0.23348718734448362 
0.820018882702834 0.8957032222730225 , 0.712885258189695 0.893163650257879 , 0.3967054036388645 0.24261928895543416 
0.8365555922927624 0.9075428029712734 , 0.7057997822450622 0.8718896941946431 , 0.3872541699935687 0.25205366432041915 
0.8502682541784182 0.9185086289849428 , 0.7013596331242995 0.8511843082030137 , 0.37798165722867566 0.26179322429837915 
0.8617762675110512 0.9283958444745043 , 0.6989339160392666 0.8312485321623306 , 0.36889936098107556 0.2718417848495008 
0.8715441819672637 0.9371808798531838 , 0.69804487756815 0.8121017599490128 , 0.36002048499597966 0.2822035216841391 
0.8799067179139131 0.9449039484961919 , 0.6983428747569892 0.7936997214228781 , 0.35135995186049107 0.29288249156726565 
0.8871067296384645 0.9516238023429858 , 0.6995684616322755 0.7759801605657326 , 0.3429343532606534 0.3038821985776171 
0.8933239963198886 0.9574009054585594 , 0.7015237041848593 0.7588800665751365 , 0.3347618440266455 0.3152051894526396 
0.8986946264907427 0.9622915277585409 , 0.7040529420036035 0.7423419600586885 , 0.32686197603704714 0.3268526736691061 
0.9033238710628404 0.9663460526508177 , 0.707030205966625 0.7263159353834577 , 0.3192554675019279 0.33882417345205995 
0.9072946571662227 0.9696088896401802 , 0.7103509810387794 0.7107600561322268 , 0.3119639063263913 0.35111721571392834 
0.9106733760956405 0.9721189548427037 , 0.713926776825518 0.6956401246331959 , 0.30500939161023494 0.36372708201043574 
0.9135138910810628 0.9739103038698899 , 0.7176815295629344 0.6809292237820691 , 0.2984141238873962 0.37664663383437647 
0.9158603700463626 0.9750127544887315 , 0.7215492130241203 0.6666071781936956 , 0.2921999614609105 0.3898662288039083 
0.9177493269614861 0.9754524412858679 , 0.7254722515385887 0.6526599815823927 , 0.28638796603131844 0.40337373861807485 
